"ID","Reef","lat","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"09-285","Kuradhwa Dhadan Lag",-9.9,0,0.3,3,0.6,0.3,1.1,1.1,0.4,0.4,0,0,0.1,0,0,0.3,0.3,0.3,3.8,0.7,0.6,2,1.4,3.4,0,2.3,2.2,0.8,3.3,3.8,3.9,3.2,0,0.2,1.3,1.3,7.1,2.7,5.7,6.3,4,2.6,4.9,4.9,4.1,4.4
"09-286","U/N Reef",-9.8,0,0.3,3,0.6,0.3,1.1,1.1,0.4,0.4,0,0,0.1,0,0,0.3,0.3,0.3,3.8,0.7,0.6,2,1.4,3.4,0,2.3,2.2,0.8,3.3,3.8,3.9,3.2,0,0.2,1.3,1.3,7.1,2.7,5.7,6.3,4,2.6,4.9,4.9,4.1,4.4
"09-288","Buin Dhadua Lag",-9.8,0,0.3,3,0.6,0.3,1.1,1.1,0.4,0.4,0,0,0.1,0,0,0.3,0.3,0.3,3.8,0.7,0.6,2,1.4,3.4,0,2.3,2.2,0.8,3.3,3.8,3.9,3.2,0,0.2,1.3,1.3,7.1,2.7,5.7,6.3,4,2.6,4.9,4.9,4.1,4.4
"09-289","U/N Reef",-9.8,0,0.3,3,0.6,0.3,1.1,1.1,0.4,0.4,0,0,0.1,0,0,0.3,0.3,0.3,3.8,0.7,0.6,2,1.4,3.4,0,2.3,2.2,0.8,3.3,3.8,3.9,3.2,0,0.2,1.3,1.3,7.1,2.7,5.7,6.3,4,2.6,4.9,4.9,4.1,4.4
"09-290","Kai (Piliu Kuth) Reef",-9.8,0,0.3,3.1,0.8,0.2,1.1,1.1,0.3,0.3,0.1,0,0.1,0,0,0.3,0.3,0.1,3.3,0.7,0.6,1.9,1,3.2,0,2,2.5,0.8,3.2,3.7,3.6,3.4,0,0.1,1.3,1.3,6.3,2.5,5.7,6.1,3,2.5,3.3,3.3,3.9,3.9
"09-291","Beka Reef",-9.8,0,0.3,3.2,0.9,0.2,1.1,1.1,0.3,0.3,0.1,0,0.1,0,0,0.3,0.3,0.1,3.2,0.7,0.6,1.9,1,3.2,0,2,2.5,0.8,3.1,3.7,3.6,3.5,0,0,1.3,1.3,6.1,2.5,5.7,6.1,2.8,2.5,3.1,3.1,3.9,3.8
"09-294","Dauan (Cornwallis) Island Reef",-9.4,0,0.3,3,0.7,0.1,0.9,0.8,0,0,0,0,0,0,0,0,0,0.3,3.6,0.7,0.6,2.5,0.8,2.5,0,1.7,1.5,0.9,2,2.3,2.3,2.3,0,0,1.1,1.1,3.3,1.1,3.6,3.6,0.6,0.5,2.1,2.1,0.6,0.3
"09-299","Saibai Island Reef",-9.4,0,0.4,3.5,0.9,0,0.7,0.6,0,0.2,0,0,0,0,0,0,0,0.1,2.9,1,0.8,2.5,0.8,2.5,0,2.2,2.5,0.8,2.3,2.7,2.6,2.6,0,0,1,1,3.6,0.8,3.3,3.3,0.4,0.6,1.5,1.5,1.1,1.1
"09-310","U/N Reef",-9.3,0,0.6,3.6,0.9,0,0.5,0.1,0.1,0.6,0,0,0,0,0,0,0,0,3.4,1.1,0.8,2.4,0.6,1.7,0.4,3,3.9,0.8,1.3,1.6,2.3,2.3,0,0,0.6,0.6,3.5,1.2,2.2,2.4,0.6,0.6,1.8,1.8,0.4,0.8
"09-311","U/N Reef",-9.2,0,0.6,3.6,0.9,0,0.5,0.1,0.1,0.6,0,0,0,0,0,0,0,0,3.4,1.1,0.8,2.4,0.6,1.7,0.4,3,3.9,0.8,1.3,1.6,2.3,2.3,0,0,0.6,0.6,3.5,1.2,2.2,2.4,0.6,0.6,1.8,1.8,0.4,0.8
"09-313","U/N Reef",-9.9,0,0.2,2.9,1,0.2,1.3,1.3,0.4,0.4,0.6,0,0.5,0,0,0.6,0.6,0,2.7,0.7,0.6,1,1.2,3.5,0,2.1,2.2,0.7,3.9,4.6,4,3.9,0.5,0.6,1.3,1.3,8,2.3,6,6.6,6.1,4.4,4.4,2.7,5.4,6.7
"09-314","Hastings Reef",-9.8,0,0.3,3.2,0.9,0.2,1.1,1.1,0.3,0.3,0.1,0,0.2,0,0,0.3,0.3,0,3,0.7,0.6,1.9,0.9,3.1,0,1.9,2.6,0.8,3.1,3.6,3.5,3.5,0,0,1.3,1.3,5.9,2.4,5.7,6,2.5,2.5,2.6,2.6,3.8,3.7
"09-315","U/N Reef",-9.7,0,0.3,3.2,0.9,0.2,1.1,1.1,0.3,0.3,0.1,0,0.2,0,0,0.3,0.3,0,3,0.7,0.6,1.9,0.9,3.1,0,1.9,2.6,0.8,3.1,3.6,3.5,3.5,0,0,1.3,1.3,5.9,2.4,5.7,6,2.5,2.5,2.6,2.6,3.8,3.7
"09-316","Adrian Reef",-9.5,0,0.3,3,0.7,0.1,0.9,0.8,0,0,0,0,0,0,0,0,0,0.3,3.6,0.7,0.6,2.5,0.8,2.5,0,1.7,1.5,0.9,2,2.3,2.3,2.3,0,0,1.1,1.1,3.3,1.1,3.6,3.6,0.6,0.5,2.1,2.1,0.6,0.3
"09-317","Phipi Reef",-9.6,0,0.3,3,0.7,0.1,0.9,0.8,0,0,0,0,0,0,0,0,0,0.3,3.6,0.7,0.6,2.5,0.8,2.5,0,1.7,1.5,0.9,2,2.3,2.3,2.3,0,0,1.1,1.1,3.3,1.1,3.6,3.6,0.6,0.5,2.1,2.1,0.6,0.3
"09-318","U/N Reef",-9.6,0,0.3,3,0.7,0.1,0.9,0.8,0,0,0,0,0,0,0,0,0,0.3,3.6,0.7,0.6,2.5,0.8,2.5,0,1.7,1.5,0.9,2,2.3,2.3,2.3,0,0,1.1,1.1,3.3,1.1,3.6,3.6,0.6,0.5,2.1,2.1,0.6,0.3
"09-319","Mourilyan Reef",-9.8,0,0.4,3.4,1,0.2,1.1,1.1,0.3,0.5,0.4,0,0,0,0,0.1,0.1,0,2.8,0.9,0.8,2.2,0.8,2.9,0,1.7,1.9,0.7,2.9,3.4,3.3,3.3,0,0,1.1,1.1,5.2,1.6,5.3,5.4,1.8,2,2,1.7,3.6,4.1
"09-320","U/N Reef",-9.8,0,0.4,3.4,1,0.2,1.1,1.1,0.3,0.6,0.5,0,0,0,0,0,0,0,2.7,0.9,0.8,2.3,0.8,2.8,0,1.6,1.6,0.7,2.8,3.3,3.3,3.3,0,0,1,1,4.9,1.2,5.1,5.1,1.5,1.8,1.8,1.3,3.5,4.2
"09-321","U/N Reef",-9.8,0,0.4,3.3,1,0.2,1.1,1.1,0.3,0.5,0.4,0,0,0,0,0.1,0.1,0,2.8,0.9,0.8,2.2,0.8,2.9,0,1.7,1.9,0.7,2.9,3.4,3.3,3.3,0,0,1.1,1.1,5.2,1.6,5.3,5.4,1.8,2,2,1.7,3.6,4.1
"09-322","U/N Reef",-9.6,0,0.5,3.6,0.9,0,0.7,0.6,0,0.3,0,0,0,0,0,0,0,0,2.8,1,0.8,2.4,0.8,2.5,0,2.4,2.7,0.8,2.3,2.8,2.7,2.7,0,0,1,1,3.7,0.8,3.2,3.2,0.3,0.6,1.3,1.3,1.2,1.2
"09-324","U/N Reef",-9.7,0,0.4,3.4,1,0.2,1.1,1.1,0.3,0.6,0.5,0,0,0,0,0,0,0,2.7,0.9,0.8,2.3,0.8,2.8,0,1.6,1.6,0.7,2.8,3.3,3.3,3.3,0,0,1,1,4.9,1.2,5.1,5.1,1.5,1.8,1.8,1.3,3.5,4.2
"09-325","Nicholls Cay",-9.7,0,0.4,3.4,1,0.2,1.1,1.1,0.3,0.6,0.5,0,0,0,0,0,0,0,2.7,0.9,0.8,2.3,0.8,2.8,0,1.6,1.6,0.7,2.8,3.3,3.3,3.3,0,0,1,1,4.9,1.2,5.1,5.1,1.5,1.8,1.8,1.3,3.5,4.2
"09-326","U/N Reef",-9.7,0,0.4,3.4,1,0.2,1.1,1.1,0.3,0.6,0.5,0,0,0,0,0,0,0,2.7,0.9,0.8,2.3,0.8,2.8,0,1.6,1.6,0.7,2.8,3.3,3.3,3.3,0,0,1,1,4.9,1.2,5.1,5.1,1.5,1.8,1.8,1.3,3.5,4.2
"09-327","U/N Reef",-9.6,0,0.4,3.4,1,0.2,1.1,1.1,0.3,0.6,0.5,0,0,0,0,0,0,0,2.7,0.9,0.8,2.3,0.8,2.8,0,1.6,1.6,0.7,2.8,3.3,3.3,3.3,0,0,1,1,4.9,1.2,5.1,5.1,1.5,1.8,1.8,1.3,3.5,4.2
"09-328","U/N Reef",-9.7,0,0.4,3.4,1,0.2,1.1,1.1,0.3,0.6,0.5,0,0,0,0,0,0,0,2.7,0.9,0.8,2.3,0.8,2.8,0,1.6,1.6,0.7,2.8,3.3,3.3,3.3,0,0,1,1,4.9,1.2,5.1,5.1,1.5,1.8,1.8,1.3,3.5,4.2
"09-329","U/N Reef",-9.8,0,0.4,3.4,1,0.2,1.1,1.1,0.3,0.6,0.5,0,0,0,0,0,0,0,2.7,0.9,0.8,2.3,0.8,2.8,0,1.6,1.6,0.7,2.8,3.3,3.3,3.3,0,0,1,1,4.9,1.2,5.1,5.1,1.5,1.8,1.8,1.3,3.5,4.2
"09-330","U/N Reef",-9.6,0,0.5,3.5,1,0.1,0.9,0.8,0.1,0.4,0.2,0,0,0,0,0,0,0,2.8,1,0.8,2.4,0.8,2.7,0,2,2.2,0.8,2.5,3,2.9,2.9,0,0,1,1,4.3,1,4.1,4.1,0.9,1.2,1.6,1.3,2.3,2.6
"09-331","Sereu Rock",-9.9,0,0.4,3.4,1,0.2,1.1,1.1,0.3,0.6,0.5,0,0,0,0,0,0,0,2.7,0.9,0.8,2.3,0.8,2.8,0,1.6,1.6,0.7,2.8,3.3,3.3,3.3,0,0,1,1,4.9,1.2,5.1,5.1,1.5,1.8,1.8,1.3,3.5,4.2
"09-332","Yam (Iama) Island Reef",-9.9,0,0.2,2.8,1.1,0.2,1.2,0.9,0.4,0.7,0.7,0,0.1,0,0,0,0,0,2.4,0.9,0.6,1.6,0.7,2.8,0,1.6,1.3,0.6,2.9,3.6,3.6,3.6,0,0,0.8,0.8,6.4,1.5,5.1,5.1,4.3,3.2,3,1.1,3.6,6.4
"09-333","U/N Reef",-9.7,0,0.4,3.4,1,0.2,1.1,1.1,0.3,0.6,0.5,0,0,0,0,0,0,0,2.7,0.9,0.8,2.3,0.8,2.8,0,1.6,1.6,0.7,2.8,3.3,3.3,3.3,0,0,1,1,4.9,1.2,5.1,5.1,1.5,1.8,1.8,1.3,3.5,4.2
"09-335","U/N Reef",-9.2,0,0.6,3.6,0.9,0,0.5,0.1,0.1,0.6,0,0,0,0,0,0,0,0,3.4,1.1,0.8,2.4,0.6,1.7,0.4,3,3.9,0.8,1.3,1.6,2.3,2.3,0,0,0.6,0.6,3.5,1.2,2.2,2.4,0.6,0.6,1.8,1.8,0.4,0.8
"09-336","U/N Reef",-9.3,0,0.6,3.6,0.9,0,0.5,0.1,0.1,0.6,0,0,0,0,0,0,0,0,3.4,1.1,0.8,2.4,0.6,1.7,0.4,3,3.9,0.8,1.3,1.6,2.3,2.3,0,0,0.6,0.6,3.5,1.2,2.2,2.4,0.6,0.6,1.8,1.8,0.4,0.8
"09-337","U/N Reef",-9.2,0,0.6,3.6,0.9,0,0.5,0.1,0.1,0.6,0,0,0,0,0,0,0,0,3.4,1.1,0.8,2.4,0.6,1.7,0.4,3,3.9,0.8,1.3,1.6,2.3,2.3,0,0,0.6,0.6,3.5,1.2,2.2,2.4,0.6,0.6,1.8,1.8,0.4,0.8
"09-338","U/N Reef",-9.2,0,0.6,3.6,0.9,0,0.5,0.1,0.1,0.6,0,0,0,0,0,0,0,0,3.4,1.1,0.8,2.4,0.6,1.7,0.4,3,3.9,0.8,1.3,1.6,2.3,2.3,0,0,0.6,0.6,3.5,1.2,2.2,2.4,0.6,0.6,1.8,1.8,0.4,0.8
"09-339","U/N Reef",-9.2,0,0.6,3.6,0.9,0,0.5,0.1,0.1,0.6,0,0,0,0,0,0,0,0,3.4,1.1,0.8,2.4,0.6,1.7,0.4,3,3.9,0.8,1.3,1.6,2.3,2.3,0,0,0.6,0.6,3.5,1.2,2.2,2.4,0.6,0.6,1.8,1.8,0.4,0.8
"09-340","U/N Reef",-9.2,0,0.6,3.6,0.9,0,0.5,0.1,0.1,0.6,0,0,0,0,0,0,0,0,3.4,1.1,0.8,2.4,0.6,1.7,0.4,3,3.9,0.8,1.3,1.6,2.3,2.3,0,0,0.6,0.6,3.5,1.2,2.2,2.4,0.6,0.6,1.8,1.8,0.4,0.8
"09-341","Gimini Reef",-9.3,0,0.6,3.6,0.9,0,0.5,0.1,0.1,0.6,0,0,0,0,0,0,0,0,3.4,1.1,0.8,2.4,0.6,1.7,0.4,3,3.9,0.8,1.3,1.6,2.3,2.3,0,0,0.6,0.6,3.5,1.2,2.2,2.4,0.6,0.6,1.8,1.8,0.4,0.8
"09-343","Parakari Reef",-9.3,0,0.6,3.6,0.9,0,0.5,0.1,0.1,0.6,0,0,0,0,0,0,0,0,3.4,1.1,0.8,2.4,0.6,1.7,0.4,3,3.9,0.8,1.3,1.6,2.3,2.3,0,0,0.6,0.6,3.5,1.2,2.2,2.4,0.6,0.6,1.8,1.8,0.4,0.8
"09-344","U/N Reef",-9.2,0,0.6,3.6,0.9,0,0.5,0.1,0.1,0.6,0,0,0,0,0,0,0,0,3.4,1.1,0.8,2.4,0.6,1.7,0.4,3,3.9,0.8,1.3,1.6,2.3,2.3,0,0,0.6,0.6,3.5,1.2,2.2,2.4,0.6,0.6,1.8,1.8,0.4,0.8
"09-345","U/N Reef",-9.2,0,0.6,3.6,0.9,0,0.5,0.1,0.1,0.6,0,0,0,0,0,0,0,0,3.4,1.1,0.8,2.4,0.6,1.7,0.4,3,3.9,0.8,1.3,1.6,2.3,2.3,0,0,0.6,0.6,3.5,1.2,2.2,2.4,0.6,0.6,1.8,1.8,0.4,0.8
"09-348","Otamabu Reef",-9.2,0,0.6,3.6,0.9,0,0.5,0.1,0.1,0.6,0,0,0,0,0,0,0,0,3.4,1.1,0.8,2.4,0.6,1.7,0.4,3,3.9,0.8,1.3,1.6,2.3,2.3,0,0,0.6,0.6,3.5,1.2,2.2,2.4,0.6,0.6,1.8,1.8,0.4,0.8
"09-350","U/N Reef",-9.2,0,0.6,3.6,0.9,0,0.5,0.1,0.1,0.6,0,0,0,0,0,0,0,0,3.4,1.1,0.8,2.4,0.6,1.7,0.4,3,3.9,0.8,1.3,1.6,2.3,2.3,0,0,0.6,0.6,3.5,1.2,2.2,2.4,0.6,0.6,1.8,1.8,0.4,0.8
