"ID","Reef","lat","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"09-277","U/N Reef",-9.9,4.3,4.9,6.7,1.3,2.3,3,2.4,4.3,0.7,0.2,0.7,0.1,1.3,1.5,0.5,1.6,7.4,0.1,2.3,2.3,3.8,10.7,2,3.5,3.6,1.7,3,4.7,7.1,7.1,0.8,2,4.3,2.4,10.5,5.1,7.1,7.7,11.4,6.4,3.8,1.4,4.9,9.7
"09-278","U/N Reef",-9.9,4.4,4.9,6.8,1.4,2.4,3,2.4,4.3,0.6,0.1,0.7,0,1.4,1.5,0.5,1.6,7.4,0.1,2.3,2.3,3.8,10.7,2,3.4,3.6,1.6,3.1,4.7,7.3,7.3,0.7,2,4.3,2.4,10.4,5.1,7,7.6,11.4,6.4,3.7,1.4,5,9.7
"09-279","Anui Reef",-9.9,4.4,4.9,6.8,1.4,2.4,3,2.4,4.3,0.6,0.1,0.7,0,1.4,1.5,0.5,1.6,7.4,0.1,2.3,2.3,3.8,10.7,2,3.4,3.6,1.6,3.1,4.7,7.3,7.3,0.7,2,4.3,2.4,10.4,5.1,7,7.6,11.4,6.4,3.7,1.4,5,9.7
"09-280","U/N Reef",-9.9,4.4,4.9,6.8,1.4,2.4,3,2.4,4.3,0.6,0.1,0.7,0,1.4,1.5,0.5,1.6,7.4,0.1,2.3,2.3,3.8,10.7,2,3.4,3.6,1.6,3.1,4.7,7.3,7.3,0.7,2,4.3,2.4,10.4,5.1,7,7.6,11.4,6.4,3.7,1.4,5,9.7
"09-281","Gariar Reef",-9.9,4.4,4.9,6.8,1.4,2.4,3,2.4,4.3,0.6,0.1,0.7,0,1.4,1.5,0.5,1.6,7.4,0.1,2.3,2.3,3.8,10.7,2,3.4,3.6,1.6,3.1,4.7,7.3,7.3,0.7,2,4.3,2.4,10.4,5.1,7,7.6,11.4,6.4,3.7,1.4,5,9.7
"09-283","U/N Reef",-9.9,4.4,4.9,6.8,1.4,2.4,3,2.4,4.3,0.6,0.1,0.7,0,1.4,1.5,0.5,1.6,7.4,0.1,2.3,2.3,3.8,10.7,2,3.4,3.6,1.6,3.1,4.7,7.3,7.3,0.7,2,4.3,2.4,10.4,5.1,7,7.6,11.4,6.4,3.7,1.4,5,9.7
"09-285","Kuradhwa Dhadan Lag",-9.9,4.4,4.9,6.8,1.4,2.4,3,2.4,4.3,0.6,0.1,0.7,0,1.4,1.5,0.5,1.6,7.4,0.1,2.3,2.3,3.8,10.7,2,3.4,3.6,1.6,3.1,4.7,7.3,7.3,0.7,2,4.3,2.4,10.4,5.1,7,7.6,11.4,6.4,3.7,1.4,5,9.7
"09-286","U/N Reef",-9.8,4.4,4.9,6.8,1.4,2.4,3,2.4,4.3,0.6,0.1,0.7,0,1.4,1.5,0.5,1.6,7.4,0.1,2.3,2.3,3.8,10.7,2,3.4,3.6,1.6,3.1,4.7,7.3,7.3,0.7,2,4.3,2.4,10.4,5.1,7,7.6,11.4,6.4,3.7,1.4,5,9.7
"09-288","Buin Dhadua Lag",-9.8,4.4,4.9,6.8,1.4,2.4,3,2.4,4.3,0.6,0.1,0.7,0,1.4,1.5,0.5,1.6,7.4,0.1,2.3,2.3,3.8,10.7,2,3.4,3.6,1.6,3.1,4.7,7.3,7.3,0.7,2,4.3,2.4,10.4,5.1,7,7.6,11.4,6.4,3.7,1.4,5,9.7
"09-289","U/N Reef",-9.8,4.4,4.9,6.8,1.4,2.4,3,2.4,4.3,0.6,0.1,0.7,0,1.4,1.5,0.5,1.6,7.4,0.1,2.3,2.3,3.8,10.7,2,3.4,3.6,1.6,3.1,4.7,7.3,7.3,0.7,2,4.3,2.4,10.4,5.1,7,7.6,11.4,6.4,3.7,1.4,5,9.7
